"key","component","line","severity","type","message"
"2be7d420-9a95-4d96-971e-ab78809b1d49","project2_1:wikimap-main/src/components/MapExplorer.tsx","78","MAJOR","CODE_SMELL","Remove this useless assignment to variable ""ageFilter""."
"a4b14475-c809-4748-bbe4-cf4b234e514c","project2_1:wikimap-main/src/components/menu/AnalyticsPanel.tsx","25","MINOR","CODE_SMELL","Prefer `String#replaceAll()` over `String#replace()`."
"ef129144-8f86-45a2-a256-24efcee20fe3","project2_1:wikimap-main/src/components/menu/AnalyticsPanel.tsx","79","MINOR","CODE_SMELL","Mark the props of the component as read-only."
"a1d4cb55-86de-42e7-b432-435a59f1a54e","project2_1:wikimap-main/src/components/menu/AnalyticsPanel.tsx","246","MAJOR","CODE_SMELL","Extract this nested ternary operation into an independent statement."
"7afdf244-6752-44d4-a750-f793281888c8","project2_1:wikimap-main/src/components/menu/AnalyticsPanel.tsx","247","MAJOR","CODE_SMELL","Extract this nested ternary operation into an independent statement."
"814e01e2-ab00-483f-a3b8-8460a97a8ff7","project2_1:wikimap-main/src/components/menu/FavoritesPanel.tsx","11","MINOR","CODE_SMELL","Mark the props of the component as read-only."
"b6b72bd8-e069-4daf-8fd5-d4081fe5adec","project2_1:wikimap-main/src/components/menu/FiltersPanel.tsx","34","MINOR","CODE_SMELL","Mark the props of the component as read-only."
"cb111b62-cee7-4f3a-9036-af8f93debaf8","project2_1:wikimap-main/src/components/menu/LanguagePanel.tsx","14","MINOR","CODE_SMELL","Mark the props of the component as read-only."
"1014d299-ee68-49f0-9d8b-495e97927e41","project2_1:wikimap-main/src/components/menu/RightMenu.tsx","35","MINOR","CODE_SMELL","Mark the props of the component as read-only."
"06421373-a002-4cbd-909e-c7a7577751c0","project2_1:wikimap-main/src/components/places/PlaceCard.tsx","2","MINOR","CODE_SMELL","Remove this unused import of 'ExternalLink'."
"6aadd504-d3a5-4d05-99c4-7d2925c8deaa","project2_1:wikimap-main/src/components/places/PlaceCard.tsx","12","MINOR","CODE_SMELL","Mark the props of the component as read-only."
"9f62cb14-fbb3-4a39-a0d7-4d1fdc6ab9f4","project2_1:wikimap-main/src/components/places/PlaceDetail.tsx","4","MINOR","CODE_SMELL","Remove this unused import of 'MapPin'."
"7ad5f8cf-594b-42f3-8344-4fbe5399c7b1","project2_1:wikimap-main/src/components/places/PlaceDetail.tsx","28","MINOR","CODE_SMELL","Mark the props of the component as read-only."
"bafe8294-442a-4c02-b72d-e3e72754e1f1","project2_1:wikimap-main/src/components/places/PlaceDetail.tsx","105","MINOR","CODE_SMELL","Prefer `globalThis` over `window`."
"777ef2be-eedf-4277-b6ae-d318e93c5b7e","project2_1:wikimap-main/src/components/places/PlaceDetail.tsx","219","MAJOR","CODE_SMELL","Extract this nested ternary operation into an independent statement."
"90862874-e4c7-4467-9e1b-1ebf291eca49","project2_1:wikimap-main/src/components/places/PlaceDetail.tsx","236","MAJOR","CODE_SMELL","Extract this nested ternary operation into an independent statement."
"1eb809e0-97b6-4c02-accf-3f99777902f0","project2_1:wikimap-main/src/components/places/PlacesList.tsx","13","MINOR","CODE_SMELL","Mark the props of the component as read-only."
"b183cb3f-ad9a-4ad9-bfa8-b6c4828210b5","project2_1:wikimap-main/src/components/search/FilterChips.tsx","22","MINOR","CODE_SMELL","Mark the props of the component as read-only."
"48c451c5-2cf7-4956-892a-805e4738d1c8","project2_1:wikimap-main/src/components/search/SearchBar.tsx","19","MINOR","CODE_SMELL","Mark the props of the component as read-only."
"aa9c13d6-1709-4e73-993b-f0b8f2aed317","project2_1:wikimap-main/src/components/ui/alert.tsx","31","MAJOR","CODE_SMELL","Headings must have content and the content must be accessible by a screen reader."
"f3fe369a-e68a-447f-8404-37c424924b34","project2_1:wikimap-main/src/components/ui/breadcrumb.tsx","50","MAJOR","CODE_SMELL","Use <a href=...>, or <area href=...> instead of the ""link"" role to ensure accessibility across all devices."
"41e2dfdd-904a-4205-b9e1-4ec7e7767bf4","project2_1:wikimap-main/src/components/ui/breadcrumb.tsx","63","MAJOR","CODE_SMELL","Use <img alt=...> instead of the ""presentation"" role to ensure accessibility across all devices."
"b8138013-2791-4237-9724-b85981e38641","project2_1:wikimap-main/src/components/ui/breadcrumb.tsx","70","MAJOR","CODE_SMELL","Use <img alt=...> instead of the ""presentation"" role to ensure accessibility across all devices."
"36a09b50-6fdc-41bd-903b-4308090be591","project2_1:wikimap-main/src/components/ui/calendar.tsx","45","MAJOR","CODE_SMELL","Move this component definition out of the parent component and pass data as props."
"d10d4b3d-af0d-4471-8b56-d0c1124bd984","project2_1:wikimap-main/src/components/ui/calendar.tsx","46","MAJOR","CODE_SMELL","Move this component definition out of the parent component and pass data as props."
"3ae7a5e9-1f61-42b5-9495-1e01b2b53ff0","project2_1:wikimap-main/src/components/ui/card.tsx","19","MAJOR","CODE_SMELL","Headings must have content and the content must be accessible by a screen reader."
"54eac922-b50b-4ff6-965e-784b1a83fd15","project2_1:wikimap-main/src/components/ui/carousel.tsx","107","MAJOR","CODE_SMELL","The object passed as the value prop to the Context provider changes every render. To fix this consider wrapping it in a useMemo hook."
"0ea86e80-32f0-4d1f-8932-6861f6c894b4","project2_1:wikimap-main/src/components/ui/carousel.tsx","118","MAJOR","CODE_SMELL","Use <section aria-label=...>, or <section aria-labelledby=...> instead of the ""region"" role to ensure accessibility across all devices."
"c42b4ce0-a8e3-4e53-81f5-5ce96ec144fd","project2_1:wikimap-main/src/components/ui/carousel.tsx","156","MAJOR","CODE_SMELL","Use <details>, <fieldset>, <optgroup>, or <address> instead of the ""group"" role to ensure accessibility across all devices."
"36ecc8c9-4473-4abd-8fb0-79fd65108ce1","project2_1:wikimap-main/src/components/ui/chart.tsx","40","MINOR","CODE_SMELL","Prefer `String#replaceAll()` over `String#replace()`."
"fb7db011-2627-42b8-b0bc-913cc33aa6b2","project2_1:wikimap-main/src/components/ui/chart.tsx","43","MAJOR","CODE_SMELL","The object passed as the value prop to the Context provider changes every render. To fix this consider wrapping it in a useMemo hook."
"6e2df847-71ac-48d2-8145-07031bb9cee4","project2_1:wikimap-main/src/components/ui/chart.tsx","161","MINOR","CODE_SMELL","Unexpected negated condition."
"4a225f86-e491-4e09-8435-cdcbee00ccc8","project2_1:wikimap-main/src/components/ui/chart.tsx","300","MINOR","CODE_SMELL","This assertion is unnecessary since it does not change the type of the expression."
"1cef3a93-92d1-47eb-b566-0e4368015d6c","project2_1:wikimap-main/src/components/ui/command.tsx","42","MAJOR","CODE_SMELL","Unknown property 'cmdk-input-wrapper' found"
"3ab6b2f4-5422-46a5-91d7-9d15ef8c14ef","project2_1:wikimap-main/src/components/ui/form.tsx","27","MAJOR","CODE_SMELL","The object passed as the value prop to the Context provider changes every render. To fix this consider wrapping it in a useMemo hook."
"4399ee32-8983-427a-a1a5-d8866abf0188","project2_1:wikimap-main/src/components/ui/form.tsx","67","MAJOR","CODE_SMELL","The object passed as the value prop to the Context provider changes every render. To fix this consider wrapping it in a useMemo hook."
"1beef940-2a05-49e2-b6e4-0522b567ef1e","project2_1:wikimap-main/src/components/ui/form.tsx","93","MINOR","CODE_SMELL","Unexpected negated condition."
"0f4852ab-775a-4d27-9066-cf7a0dbc7ba9","project2_1:wikimap-main/src/components/ui/input-otp.tsx","54","MAJOR","CODE_SMELL","Use <hr> instead of the ""separator"" role to ensure accessibility across all devices."
"30cb76f3-76e2-4001-8af1-1461a4ca80f2","project2_1:wikimap-main/src/components/ui/pagination.tsx","35","MINOR","CODE_SMELL","Anchors must have content and the content must be accessible by a screen reader."
"fd35fab0-8453-4821-b5bc-cb69994c7d2d","project2_1:wikimap-main/src/components/ui/sidebar.tsx","87","MINOR","CODE_SMELL","Prefer `globalThis` over `window`."
"19ac9c42-a9ce-4c5c-87e6-a77caa78440b","project2_1:wikimap-main/src/components/ui/sidebar.tsx","88","MINOR","CODE_SMELL","Prefer `globalThis` over `window`."
"420cdf07-898d-43f7-b534-f9fbaf3b49a6","project2_1:wikimap-main/src/components/ui/sonner.tsx","27","MINOR","CODE_SMELL","Use `export???from` to re-export `toast`."
"45bf2248-f2b0-4dec-9b77-e2dd187f2a5b","project2_1:wikimap-main/src/components/ui/table.tsx","8","MAJOR","BUG","Add a valid header row or column to this ""<table>""."
"2a895bd4-7e89-43b3-a017-f6ac55fc7ab9","project2_1:wikimap-main/src/components/ui/toggle-group.tsx","18","MAJOR","CODE_SMELL","The object passed as the value prop to the Context provider changes every render. To fix this consider wrapping it in a useMemo hook."
"a2f155b1-1f44-4f3b-b53e-1596aa04f005","project2_1:wikimap-main/src/components/ui/use-toast.ts","3","MINOR","CODE_SMELL","Use `export???from` to re-export `useToast`."
"be1b5bb0-3378-4198-a7ab-abbb0c6a1b57","project2_1:wikimap-main/src/components/ui/use-toast.ts","3","MINOR","CODE_SMELL","Use `export???from` to re-export `toast`."
"aa0884d0-31ef-45cc-a8c4-c6cecb16886e","project2_1:wikimap-main/src/hooks/use-mobile.tsx","9","MINOR","CODE_SMELL","Prefer `globalThis` over `window`."
